pca_1,pca_2,category,split,sample_id,window_start
0.3730466663837433,0.09246768802404404,Feasible-Space Sampling,Training support,ep0001_start0106_seed0002,267
-0.2798762619495392,0.7443165183067322,Feasible-Space Sampling,Training support,ep0001_start0133_seed0001,115
0.6151617169380188,0.6877487301826477,Feasible-Space Sampling,Training support,ep0000_start0064_seed0108,215
0.40178507566452026,0.29296058416366577,Feasible-Space Sampling,Training support,ep0001_start0130_seed0009,32
0.45707470178604126,0.2966889441013336,Feasible-Space Sampling,Training support,ep0001_start0106_seed0003,222
0.4062436521053314,0.19667527079582214,Feasible-Space Sampling,Training support,ep0001_start0106_seed0004,220
0.09099720418453217,0.2041311413049698,Feasible-Space Sampling,Training support,ep0001_start0130_seed0006,41
-0.009682551957666874,0.28841203451156616,Feasible-Space Sampling,Training support,ep0001_start0106_seed0001,256
0.40976613759994507,0.6562511920928955,Feasible-Space Sampling,Training support,ep0001_start0130_seed0003,196
0.38875484466552734,0.3405541777610779,Feasible-Space Sampling,Training support,ep0001_start0106_seed0003,163
0.33759021759033203,0.2869707942008972,Feasible-Space Sampling,Training support,ep0000_start0103_seed0003,262
0.5476230382919312,0.7707895636558533,Feasible-Space Sampling,Training support,ep0000_start0064_seed0109,168
0.5803143978118896,0.8769082427024841,Feasible-Space Sampling,Training support,ep0000_start0064_seed0093,204
0.4230266809463501,0.2674025893211365,Feasible-Space Sampling,Training support,ep0000_start0064_seed0051,227
0.38228434324264526,0.42452073097229004,Feasible-Space Sampling,Training support,ep0000_start0103_seed0004,137
0.35839927196502686,0.5193943977355957,Feasible-Space Sampling,Training support,ep0001_start0130_seed0004,79
0.13683676719665527,0.3886425495147705,Feasible-Space Sampling,Training support,ep0000_start0064_seed0030,236
0.036972593516111374,0.5573407411575317,Feasible-Space Sampling,Training support,ep0001_start0130_seed0001,101
0.1548970639705658,0.21708901226520538,Feasible-Space Sampling,Training support,ep0000_start0064_seed0037,238
0.6466795802116394,0.8564563989639282,Feasible-Space Sampling,Training support,ep0000_start0064_seed0077,109
0.2968096137046814,0.21187368035316467,Feasible-Space Sampling,Training support,ep0001_start0106_seed0009,251
0.6149755120277405,0.8557607531547546,Feasible-Space Sampling,Training support,ep0000_start0064_seed0002,170
0.3603455722332001,0.7821609377861023,Feasible-Space Sampling,Training support,ep0001_start0130_seed0000,45
0.2003277689218521,0.5929053425788879,Feasible-Space Sampling,Training support,ep0000_start0064_seed0059,175
0.5548667907714844,0.7283409833908081,Feasible-Space Sampling,Training support,ep0000_start0064_seed0010,141
0.0002466499281581491,0.39478564262390137,Feasible-Space Sampling,Training support,ep0001_start0133_seed0005,174
0.6191867589950562,0.3843260109424591,Feasible-Space Sampling,Training support,ep0001_start0130_seed0009,110
0.49647602438926697,0.5443745851516724,Feasible-Space Sampling,Training support,ep0001_start0133_seed0006,253
0.39458370208740234,0.9021777510643005,Feasible-Space Sampling,Training support,ep0000_start0103_seed0005,165
0.529160737991333,0.3844996392726898,Feasible-Space Sampling,Training support,ep0001_start0106_seed0006,169
0.37279948592185974,0.4957771599292755,Feasible-Space Sampling,Training support,ep0000_start0064_seed0029,191
0.4291120767593384,0.1794084906578064,Feasible-Space Sampling,Training support,ep0001_start0133_seed0009,13
0.015136183239519596,0.396439790725708,Feasible-Space Sampling,Training support,ep0001_start0130_seed0004,142
0.5963076949119568,0.9279332160949707,Feasible-Space Sampling,Training support,ep0000_start0064_seed0068,268
0.3967956602573395,0.14855186641216278,Feasible-Space Sampling,Training support,ep0001_start0133_seed0003,20
0.2664095163345337,0.5959707498550415,Feasible-Space Sampling,Training support,ep0001_start0130_seed0005,138
0.6871188879013062,0.917568564414978,Feasible-Space Sampling,Training support,ep0000_start0064_seed0079,128
0.34528765082359314,0.4709702134132385,Feasible-Space Sampling,Training support,ep0000_start0103_seed0007,128
0.608837902545929,0.3993304371833801,Feasible-Space Sampling,Training support,ep0000_start0103_seed0009,90
0.4354858696460724,0.25151970982551575,Feasible-Space Sampling,Training support,ep0001_start0106_seed0004,65
0.019631510600447655,0.2248215228319168,Feasible-Space Sampling,Training support,ep0001_start0133_seed0000,151
0.2837439179420471,0.2611338198184967,Feasible-Space Sampling,Training support,ep0000_start0103_seed0004,232
0.3161912262439728,0.35125333070755005,Feasible-Space Sampling,Training support,ep0001_start0106_seed0002,196
